发货前天数（实际）,发货前天数（计划）,每笔订单利润,销售额预测,每名客户销售额,装运状态,记录数,利润率,产品名称,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 ID,订单日期,邮寄方式,销售额
7,￥6,￥60,"￥1,578","￥1,205",延迟装运,1,5%,"Office Star 摇椅, 可调",￥60,2017/6/14,中国,华东,温岭,椅子,贾彩,40%,3,浙江,家具,公司,US-2017-4150614,2017/6/7,标准级,"￥1,205"
7,￥6,(￥17),￥260,￥199,延迟装运,1,-9%,"OIC 图钉, 金属",(￥17),2017/6/14,中国,华东,温岭,系固件,贾彩,40%,5,浙江,办公用品,公司,US-2017-4150614,2017/6/7,标准级,￥199
7,￥6,(￥59),￥327,￥249,延迟装运,1,-24%,"Accos 图钉, 混合尺寸",(￥59),2017/6/14,中国,华东,温岭,系固件,贾彩,40%,8,浙江,办公用品,公司,US-2017-4150614,2017/6/7,标准级,￥249
7,￥6,(￥182),￥510,￥389,延迟装运,1,-47%,"Fiskars 剪刀, 蓝色",(￥182),2017/6/14,中国,华东,温岭,用品,贾彩,40%,6,浙江,办公用品,公司,US-2017-4150614,2017/6/7,标准级,￥389
7,￥6,(￥35),￥907,￥692,延迟装运,1,-5%,"罗技 路由器, 实惠",(￥35),2017/6/14,中国,华东,温岭,配件,贾彩,40%,1,浙江,技术,公司,US-2017-4150614,2017/6/7,标准级,￥692
7,￥6,(￥9),￥139,￥106,延迟装运,1,-9%,"Tenex 灯泡, 黑色",(￥9),2017/6/14,中国,华东,温岭,用具,贾彩,40%,2,浙江,家具,公司,US-2017-4150614,2017/6/7,标准级,￥106
3,￥3,￥73,￥208,￥159,准时装运,1,46%,"Wilson Jones 标签, 回收",￥73,2018/12/15,中国,华东,上海,装订机,马丽,0%,5,上海,办公用品,消费者,CN-2018-4364300,2018/12/12,二级,￥159
4,￥3,￥585,"￥1,668","￥1,273",延迟装运,1,46%,"Fellowes 文件车, 金属",￥585,2018/10/2,中国,华北,唐山,收纳具,宋栋,0%,2,河北,办公用品,公司,CN-2018-3230180,2018/9/28,二级,"￥1,273"
4,￥3,￥799,"￥2,278","￥1,738",延迟装运,1,46%,"Harbour Creations 椅垫, 可调",￥799,2018/10/2,中国,华北,唐山,椅子,宋栋,0%,5,河北,家具,公司,CN-2018-3230180,2018/9/28,二级,"￥1,738"
4,￥6,(￥487),"￥1,821","￥1,390",提前装运,1,-35%,"Dania 书架, 白色",(￥487),2017/11/23,中国,华东,宁波,书架,巩虢,40%,4,浙江,家具,公司,US-2017-1966627,2017/11/19,标准级,"￥1,390"
1,￥1,￥0,￥523,￥399,准时装运,1,0%,"Advantus 灯泡, 耐用",￥0,2017/3/1,中国,华东,上海,用具,常松,0%,5,上海,家具,消费者,CN-2017-1190387,2017/2/28,一级,￥399
3,￥3,￥32,￥328,￥250,准时装运,1,13%,"Boston 画布, 蓝色",￥32,2017/9/6,中国,华东,厦门,美术,田黎明,0%,1,福建,办公用品,公司,CN-2017-3216455,2017/9/3,二级,￥250
4,￥6,￥400,"￥1,093",￥834,提前装运,1,48%,"Green Bar 笔记本, 优质",￥400,2017/9/21,中国,华东,宿州,纸张,谭乐,0%,6,安徽,办公用品,消费者,CN-2017-4690757,2017/9/17,标准级,￥834
4,￥6,￥78,￥299,￥228,提前装运,1,34%,"Smead 盘, 工业",￥78,2017/9/21,中国,华东,宿州,收纳具,谭乐,0%,1,安徽,办公用品,消费者,CN-2017-4690757,2017/9/17,标准级,￥228
4,￥6,(￥211),"￥1,222",￥932,提前装运,1,-23%,"Lesro 培训桌, 长方形",(￥211),2017/9/21,中国,华东,宿州,桌子,谭乐,25%,1,安徽,家具,消费者,CN-2017-4690757,2017/9/17,标准级,￥932
3,￥1,￥108,￥383,￥292,延迟装运,1,37%,"SanDisk 羊皮纸, 每包 12 个",￥108,2017/7/5,中国,西北,兰州,纸张,徐岱,0%,3,甘肃,办公用品,公司,CN-2017-4674220,2017/7/2,一级,￥292
6,￥6,"(￥2,043)","￥12,350","￥9,424",准时装运,1,-22%,"Breville 炉灶, 黑色","(￥2,043)",2017/8/1,中国,华东,淮阴,器具,武杰,40%,6,江苏,办公用品,小型企业,US-2017-3857264,2017/7/26,标准级,"￥9,424"
2,￥3,"￥1,651","￥5,409","￥4,128",提前装运,1,40%,"KitchenAid 搅拌机, 黑色","￥1,651",2017/12/26,中国,东北,肇源,器具,吕兰,0%,9,黑龙江,办公用品,消费者,CN-2017-4054371,2017/12/24,二级,"￥4,128"
5,￥3,￥0,"￥2,536","￥1,935",延迟装运,1,0%,"Fellowes 锁柜, 蓝色",￥0,2015/5/22,中国,华东,南昌,收纳具,唐婉,0%,2,江西,办公用品,小型企业,CN-2015-2932548,2015/5/17,二级,"￥1,935"
5,￥3,￥50,￥349,￥267,延迟装运,1,19%,"Sanford 钢笔, 混合尺寸",￥50,2015/5/22,中国,华东,南昌,美术,唐婉,0%,4,江西,办公用品,小型企业,CN-2015-2932548,2015/5/17,二级,￥267
4,￥6,￥237,￥915,￥698,提前装运,1,34%,"Ibico 打孔机, 透明",￥237,2017/7/20,中国,华东,合肥,装订机,葛毅,0%,5,安徽,办公用品,消费者,CN-2017-3476344,2017/7/16,标准级,￥698
2,￥3,"(￥1,021)",￥357,￥272,提前装运,1,-375%,"Boston 速写本, 蓝色","(￥1,021)",2017/6/18,中国,西南,内江,美术,邹涛,80%,6,四川,办公用品,公司,US-2017-5956361,2017/6/16,二级,￥272
2,￥3,￥237,"￥2,334","￥1,781",提前装运,1,13%,"诺基亚 充电器, 蓝色",￥237,2017/6/18,中国,西南,内江,电话,邹涛,40%,1,四川,技术,公司,US-2017-5956361,2017/6/16,二级,"￥1,781"
2,￥3,￥150,￥468,￥357,提前装运,1,42%,"Ames 邮寄品, 银色",￥150,2017/6/18,中国,西南,内江,信封,邹涛,0%,2,四川,办公用品,公司,US-2017-5956361,2017/6/16,二级,￥357
3,￥3,"￥1,340","￥15,965","￥12,183",准时装运,1,11%,"思科 充电器, 全尺寸","￥1,340",2018/6/22,中国,东北,蛟河,电话,薛磊,0%,4,吉林,技术,消费者,CN-2018-2396895,2018/6/19,二级,"￥12,183"
3,￥3,"￥1,229","￥3,930","￥2,999",准时装运,1,41%,"Hewlett 传真机, 彩色","￥1,229",2018/6/22,中国,东北,蛟河,复印机,薛磊,0%,2,吉林,技术,消费者,CN-2018-2396895,2018/6/19,二级,"￥2,999"
3,￥3,￥225,￥669,￥510,准时装运,1,44%,"Tenex 盘, 工业",￥225,2018/6/22,中国,东北,蛟河,收纳具,薛磊,0%,2,吉林,办公用品,消费者,CN-2018-2396895,2018/6/19,二级,￥510
4,￥6,"￥3,539","￥16,565","￥12,641",提前装运,1,28%,"Hamilton Beach 炉灶, 黑色","￥3,539",2017/5/26,中国,华东,青岛,器具,苏晒明,0%,5,山东,办公用品,消费者,CN-2017-2828982,2017/5/22,标准级,"￥12,641"
4,￥6,￥217,"￥1,781","￥1,359",提前装运,1,16%,"Hamilton Beach 烤面包机, 银色",￥217,2017/5/26,中国,华东,青岛,器具,苏晒明,0%,5,山东,办公用品,消费者,CN-2017-2828982,2017/5/22,标准级,"￥1,359"
4,￥6,￥69,￥188,￥143,提前装运,1,48%,"Rogers 文件夹, 蓝色",￥69,2017/5/26,中国,华东,青岛,收纳具,苏晒明,0%,1,山东,办公用品,消费者,CN-2017-2828982,2017/5/22,标准级,￥143
4,￥6,(￥130),￥443,￥338,提前装运,1,-38%,"Acme 开信刀, 蓝色",(￥130),2018/1/4,中国,东北,沈阳,用品,林丹,40%,4,辽宁,办公用品,消费者,US-2017-4297166,2017/12/31,标准级,￥338
4,￥6,(￥72),￥181,￥138,提前装运,1,-52%,"Stockwell 订书钉, 每包 12 个",(￥72),2018/1/4,中国,东北,沈阳,系固件,林丹,40%,5,辽宁,办公用品,消费者,US-2017-4297166,2017/12/31,标准级,￥138
4,￥6,(￥41),￥160,￥122,提前装运,1,-34%,"Accos 按钉, 整包",(￥41),2018/1/4,中国,东北,沈阳,系固件,林丹,40%,3,辽宁,办公用品,消费者,US-2017-4297166,2017/12/31,标准级,￥122
6,￥6,(￥695),"￥3,033","￥2,314",准时装运,1,-30%,"Dania 古典书架, 白色",(￥695),2017/10/7,中国,中南,黄石,书架,徐健,40%,2,湖北,家具,公司,US-2017-4292548,2017/10/1,标准级,"￥2,314"
7,￥6,￥455,"￥1,570","￥1,198",延迟装运,1,38%,"Smead 文件车, 蓝色",￥455,2018/11/23,中国,西北,西安,收纳具,麦虹,0%,2,陕西,办公用品,公司,CN-2018-4838467,2018/11/16,标准级,"￥1,198"
3,￥3,"￥1,152","￥3,872","￥2,955",准时装运,1,39%,"佳能 传真机, 红色","￥1,152",2015/8/27,中国,中南,阳江,复印机,袁保,0%,2,广东,技术,公司,CN-2015-3232413,2015/8/24,二级,"￥2,955"
3,￥1,￥332,"￥3,637","￥2,775",延迟装运,1,12%,"松下 电话, 耐用",￥332,2017/6/10,中国,中南,邓州,设备,马丽娜,0%,7,河南,技术,消费者,CN-2017-4162714,2017/6/7,一级,"￥2,775"
2,￥1,￥132,￥362,￥277,延迟装运,1,48%,"Harbour Creations 运输标签, 耐用",￥132,2015/1/23,中国,华东,曲阜,标签,谭君,0%,5,山东,办公用品,公司,CN-2015-4497265,2015/1/21,一级,￥277
2,￥1,￥51,￥335,￥256,延迟装运,1,20%,"Stockwell 回形针, 混合尺寸",￥51,2015/1/23,中国,华东,曲阜,系固件,谭君,0%,5,山东,办公用品,公司,CN-2015-4497265,2015/1/21,一级,￥256
2,￥3,￥382,"￥6,269","￥4,784",提前装运,1,8%,"StarTech 打印机, 耐用",￥382,2018/9/17,中国,中南,湛江,设备,钱伟,0%,4,广东,技术,公司,CN-2018-5922906,2018/9/15,二级,"￥4,784"
5,￥6,"(￥3,106)","￥9,043","￥6,901",提前装运,1,-45%,"Hoover 微波炉, 黑色","(￥3,106)",2015/12/24,中国,中南,孝感,器具,陶武,40%,8,湖北,办公用品,公司,US-2015-3767771,2015/12/19,标准级,"￥6,901"
1,￥0,(￥37),￥652,￥498,延迟装运,1,-8%,"Stanley 速写本, 蓝色",(￥37),2015/11/1,中国,中南,浏阳,美术,陶聪,20%,3,湖南,办公用品,消费者,US-2015-1166331,2015/10/31,当日,￥498
1,￥0,￥23,￥512,￥391,延迟装运,1,6%,"Green Bar 计划信息表, 每包 12 个",￥23,2015/11/1,中国,中南,浏阳,纸张,陶聪,0%,3,湖南,办公用品,消费者,US-2015-1166331,2015/10/31,当日,￥391
5,￥3,￥934,"￥4,707","￥3,592",延迟装运,1,26%,"SanDisk 路由器, 耐用",￥934,2017/3/16,中国,东北,哈尔滨,配件,韩凤,0%,3,黑龙江,技术,小型企业,CN-2017-3064620,2017/3/11,二级,"￥3,592"
5,￥3,￥150,￥394,￥300,延迟装运,1,50%,"Smead 有色标签, 红色",￥150,2016/10/2,中国,华东,滕州,标签,涂博,0%,5,山东,办公用品,消费者,CN-2016-3188191,2016/9/27,二级,￥300
3,￥1,￥125,￥383,￥293,延迟装运,1,43%,"Kraft 搭扣信封, 红色",￥125,2016/9/18,中国,华北,北京,信封,钟庆缘,0%,5,北京,办公用品,小型企业,CN-2016-5717181,2016/9/15,一级,￥293
3,￥1,￥63,￥750,￥572,延迟装运,1,11%,"宜家 书架, 传统",￥63,2016/9/18,中国,华北,北京,书架,钟庆缘,0%,1,北京,家具,小型企业,CN-2016-5717181,2016/9/15,一级,￥572
2,￥3,￥811,"￥2,529","￥1,930",提前装运,1,42%,"三星 信号增强器, 全尺寸",￥811,2018/10/28,中国,西南,重庆,电话,孟刚,0%,3,重庆,技术,公司,CN-2018-2187292,2018/10/26,二级,"￥1,930"
2,￥3,￥47,￥691,￥527,提前装运,1,9%,"Kraft 邮寄品, 每套 50 个",￥47,2018/10/28,中国,西南,重庆,信封,孟刚,0%,3,重庆,办公用品,公司,CN-2018-2187292,2018/10/26,二级,￥527
2,￥3,￥595,"￥3,898","￥2,975",提前装运,1,20%,"三星 充电器, 全尺寸",￥595,2018/10/28,中国,西南,重庆,电话,孟刚,0%,1,重庆,技术,公司,CN-2018-2187292,2018/10/26,二级,"￥2,975"
4,￥3,(￥33),￥862,￥658,延迟装运,1,-5%,"Elite 大剪刀, 蓝色",(￥33),2015/2/6,中国,华东,椒江,用品,黄丽,40%,5,浙江,办公用品,消费者,US-2015-3275681,2015/2/2,二级,￥658
4,￥6,￥24,￥197,￥150,提前装运,1,16%,"Accos 橡皮筋, 每包 12 个",￥24,2015/12/27,中国,西北,西安,系固件,倪幂,0%,2,陕西,办公用品,消费者,CN-2015-5821791,2015/12/23,标准级,￥150
4,￥6,￥16,￥129,￥99,提前装运,1,17%,"Hon 圆形标签, 耐用",￥16,2015/12/27,中国,西北,西安,标签,倪幂,0%,3,陕西,办公用品,消费者,CN-2015-5821791,2015/12/23,标准级,￥99
4,￥6,￥16,￥102,￥78,提前装运,1,21%,"Novimex 合法证物标签, 可调",￥16,2015/12/27,中国,西北,西安,标签,倪幂,0%,2,陕西,办公用品,消费者,CN-2015-5821791,2015/12/23,标准级,￥78
5,￥6,￥84,￥801,￥612,提前装运,1,14%,"Harbour Creations 运输标签, 可调",￥84,2017/3/16,中国,华东,南昌,标签,钱珊,0%,14,江西,办公用品,公司,CN-2017-4126497,2017/3/11,标准级,￥612
5,￥6,￥36,￥159,￥121,提前装运,1,30%,"Kleencut 尺子, 钢",￥36,2017/3/16,中国,华东,南昌,用品,钱珊,0%,2,江西,办公用品,公司,CN-2017-4126497,2017/3/11,标准级,￥121
0,￥0,￥440,"￥3,202","￥2,443",准时装运,1,18%,"佳能 复印机, 数字化",￥440,2017/8/8,中国,西北,西安,复印机,彭雯,0%,2,陕西,技术,消费者,CN-2017-1751343,2017/8/8,当日,"￥2,443"
5,￥3,(￥395),￥913,￥697,延迟装运,1,-57%,"夏普 墨水, 每套两件",(￥395),2016/8/27,中国,东北,叶柏寿,复印机,谢雯,40%,2,辽宁,技术,小型企业,US-2016-1803838,2016/8/22,二级,￥697
5,￥3,￥26,￥77,￥58,延迟装运,1,45%,"Novimex 圆形标签, 可调",￥26,2016/8/27,中国,东北,叶柏寿,标签,谢雯,0%,3,辽宁,办公用品,小型企业,US-2016-1803838,2016/8/22,二级,￥58
5,￥6,￥194,￥749,￥571,提前装运,1,34%,"Ames 外皮和封条, 回收",￥194,2015/6/6,中国,华东,上海,信封,韦立,0%,7,上海,办公用品,消费者,CN-2015-4861225,2015/6/1,标准级,￥571
5,￥6,￥123,￥771,￥589,提前装运,1,21%,"Tenex 分层置放架, 黑色",￥123,2015/6/6,中国,华东,上海,用具,韦立,0%,5,上海,家具,消费者,CN-2015-4861225,2015/6/1,标准级,￥589
5,￥3,￥45,￥396,￥302,延迟装运,1,15%,"Harbour Creations 有色标签, 可调",￥45,2018/6/2,中国,西北,西宁,标签,熊丽,0%,6,青海,办公用品,公司,CN-2018-3172853,2018/5/28,二级,￥302
0,￥0,￥193,"￥2,529","￥1,930",准时装运,1,10%,"Eldon 框架, 优质",￥193,2017/7/26,中国,西南,绵阳,用具,曾康,40%,6,四川,家具,消费者,CN-2017-5552260,2017/7/26,当日,"￥1,930"
4,￥6,"(￥3,664)","￥9,602","￥7,327",提前装运,1,-50%,"思科 充电器, 混合尺寸","(￥3,664)",2015/12/18,中国,中南,武汉,电话,郝升,40%,4,湖北,技术,消费者,US-2015-1357144,2015/12/14,标准级,"￥7,327"
5,￥6,￥10,￥55,￥42,提前装运,1,24%,"Wilson Jones 孔加固材料, 实惠",￥10,2015/11/22,中国,西北,韩城,装订机,程聪,0%,2,陕西,办公用品,消费者,CN-2015-5926511,2015/11/17,标准级,￥42
5,￥6,￥186,￥871,￥665,提前装运,1,28%,"Eldon 搁板, 金属",￥186,2015/11/22,中国,西北,韩城,收纳具,程聪,0%,3,陕西,办公用品,消费者,CN-2015-5926511,2015/11/17,标准级,￥665
5,￥6,￥244,￥743,￥567,提前装运,1,43%,"Rogers 盘, 金属",￥244,2015/11/22,中国,西北,韩城,收纳具,程聪,0%,2,陕西,办公用品,消费者,CN-2015-5926511,2015/11/17,标准级,￥567
5,￥6,￥255,￥760,￥580,提前装运,1,44%,"Rogers 盘, 工业",￥255,2015/11/22,中国,西北,韩城,收纳具,程聪,0%,2,陕西,办公用品,消费者,CN-2015-5926511,2015/11/17,标准级,￥580
3,￥3,(￥226),￥523,￥399,准时装运,1,-57%,"Stiletto 大剪刀, 钢",(￥226),2018/5/24,中国,华东,盐城,用品,顾黎明,40%,3,江苏,办公用品,消费者,US-2018-4733722,2018/5/21,二级,￥399
3,￥3,(￥39),"￥1,550","￥1,183",准时装运,1,-3%,"Novimex 折叠椅, 每套两件",(￥39),2018/5/24,中国,华东,盐城,椅子,顾黎明,40%,5,江苏,家具,消费者,US-2018-4733722,2018/5/21,二级,"￥1,183"
3,￥3,(￥14),￥363,￥277,准时装运,1,-5%,"OIC 夹子, 整包",(￥14),2018/5/24,中国,华东,盐城,系固件,顾黎明,40%,5,江苏,办公用品,消费者,US-2018-4733722,2018/5/21,二级,￥277
3,￥3,￥66,￥872,￥665,准时装运,1,10%,"Ames 局间信封, 银色",￥66,2018/5/24,中国,华东,盐城,信封,顾黎明,0%,3,江苏,办公用品,消费者,US-2018-4733722,2018/5/21,二级,￥665
3,￥3,(￥63),￥39,￥29,准时装运,1,-215%,"Sanford 荧光笔, 蓝色",(￥63),2018/5/24,中国,华东,盐城,美术,顾黎明,80%,2,江苏,办公用品,消费者,US-2018-4733722,2018/5/21,二级,￥29
4,￥6,￥612,"￥2,866","￥2,187",提前装运,1,28%,"爱普生 收据打印机, 耐用",￥612,2018/11/14,中国,中南,南宁,设备,马惠英,0%,4,广西,技术,公司,CN-2018-5834341,2018/11/10,标准级,"￥2,187"
3,￥1,￥48,￥794,￥606,延迟装运,1,8%,"Elite 修剪器, 工业",￥48,2016/1/28,中国,华东,泉州,用品,涂博,0%,3,福建,办公用品,消费者,CN-2016-1973789,2016/1/25,一级,￥606
3,￥1,￥223,￥944,￥721,延迟装运,1,31%,"Cuisinart 咖啡研磨机, 红色",￥223,2016/1/28,中国,华东,泉州,器具,涂博,0%,4,福建,办公用品,消费者,CN-2016-1973789,2016/1/25,一级,￥721
4,￥6,￥122,￥327,￥249,提前装运,1,49%,"Elite 开信刀, 钢",￥122,2018/11/18,中国,华北,天津,用品,巩松,0%,2,天津,办公用品,小型企业,CN-2018-3766882,2018/11/14,标准级,￥249
5,￥3,￥0,￥243,￥186,延迟装运,1,0%,"Avery 装订机, 回收",￥0,2018/10/28,中国,华北,天津,装订机,孙辉,0%,3,天津,办公用品,小型企业,CN-2018-3665640,2018/10/23,二级,￥186
5,￥3,￥69,"￥3,035","￥2,316",延迟装运,1,3%,"Eldon 闹钟, 优质",￥69,2018/10/28,中国,华北,天津,用具,孙辉,0%,9,天津,家具,小型企业,CN-2018-3665640,2018/10/23,二级,"￥2,316"
5,￥3,￥947,"￥2,822","￥2,153",延迟装运,1,44%,"SAFCO 扶手椅, 红色",￥947,2018/10/28,中国,华北,天津,椅子,孙辉,0%,1,天津,家具,小型企业,CN-2018-3665640,2018/10/23,二级,"￥2,153"
2,￥1,￥156,"￥3,416","￥2,607",延迟装运,1,6%,"Novimex 折叠椅, 黑色",￥156,2016/10/12,中国,东北,七台河,椅子,彭伟,0%,7,黑龙江,家具,小型企业,CN-2016-5378913,2016/10/10,一级,"￥2,607"
2,￥1,￥96,"￥1,052",￥803,延迟装运,1,12%,"Memorex 键区, 回收",￥96,2016/10/12,中国,东北,七台河,配件,彭伟,0%,4,黑龙江,技术,小型企业,CN-2016-5378913,2016/10/10,一级,￥803
1,￥1,￥82,￥715,￥546,准时装运,1,15%,"Fiskars 修剪器, 锯齿状",￥82,2017/10/18,中国,华东,徐州,用品,巩关茵,40%,5,江苏,办公用品,公司,CN-2017-2045726,2017/10/17,一级,￥546
1,￥1,"(￥1,485)","￥5,836","￥4,454",准时装运,1,-33%,"Hewlett 复印机, 彩色","(￥1,485)",2017/10/18,中国,华东,徐州,复印机,巩关茵,40%,6,江苏,技术,公司,CN-2017-2045726,2017/10/17,一级,"￥4,454"
3,￥1,￥17,￥454,￥346,延迟装运,1,5%,"Eaton 计划信息表, 每包 12 个",￥17,2018/9/15,中国,华东,扬州,纸张,黄娟,0%,3,江苏,办公用品,消费者,CN-2018-2328434,2018/9/12,一级,￥346
2,￥3,￥38,￥112,￥86,提前装运,1,45%,"Acco 孔加固材料, 透明",￥38,2017/8/7,中国,华北,北京,装订机,陈莲,0%,3,北京,办公用品,公司,CN-2017-3984376,2017/8/5,二级,￥86
5,￥3,￥29,"￥1,894","￥1,446",延迟装运,1,2%,"KitchenAid 微波炉, 黑色",￥29,2018/2/2,中国,中南,株洲,器具,韦锦,0%,1,湖南,办公用品,消费者,CN-2018-5057492,2018/1/28,二级,"￥1,446"
5,￥6,￥356,"￥1,197",￥913,提前装运,1,39%,"诺基亚 办公室电话机, 整包",￥356,2018/5/25,中国,东北,青冈,电话,谭珊,0%,3,黑龙江,技术,消费者,CN-2018-1118317,2018/5/20,标准级,￥913
0,￥0,"￥1,015","￥3,167","￥2,417",准时装运,1,42%,"贝尔金 路由器, 耐用","￥1,015",2017/6/22,中国,华东,新泰,配件,牛德伟,0%,2,山东,技术,消费者,CN-2017-1498643,2017/6/22,当日,"￥2,417"
